dataset,method,seed,rounds,final_accuracy,fpr,rho_samples_norm_median,rho_samples_norm_valid_rounds,rho_samples_norm_round0,rho_samples_reject_median,rho_samples_reject_valid_rounds,rho_samples_reject_round0,rho_samples_norm_nonfloor_median,rho_samples_norm_nonfloor_valid_rounds,rho_samples_norm_nonfloor_round0,rho_samples_reject_nonfloor_median,rho_samples_reject_nonfloor_valid_rounds,rho_samples_reject_nonfloor_round0,rho_entropy_norm_median,rho_entropy_norm_valid_rounds,rho_entropy_norm_round0,rho_samples_entropy_median,rho_samples_entropy_valid_rounds,rho_samples_entropy_round0,quartile_gap_median,quartile_gap_valid_rounds,quartile_gap_round0,floor_n,floor_fp,floor_fpr,nonfloor_n,nonfloor_fp,nonfloor_fpr
fashion_mnist,fltrust_normalized,2024,30,0.6301,0.337037037037037,0.4511058961062124,30,-0.3032890279395723,-0.12454517030313399,29,,0.14045800655707774,30,-0.2447876447876448,-0.11394094357194787,28,,-0.011544687381987839,30,-0.6676494432869224,-0.09143743756767597,30,-0.05310984865363252,-0.1475272915490307,30,0.0,1615,618,0.3826625386996904,1085,292,0.26912442396313363
fashion_mnist,fltrust_normalized,42,30,0.6973,0.37222222222222223,0.2663594133970486,30,-0.4615093289831701,-0.39888148331713524,30,0.14265473632273692,0.053579848218463955,30,-0.03836952956986212,-0.09988070771211977,30,-0.16856955256026804,0.009525504630962571,30,-0.5707982332392705,0.18367752577055496,30,0.23121818414595066,-0.34592261285625125,30,0.045454545454545456,1519,753,0.4957208689927584,1181,252,0.21337849280270957
fashion_mnist,krum_bound30,137,30,0.4313,0.32222222222222224,0.5500323459590959,30,0.08301762727392764,0.5738120012899102,30,0.6232360172170703,0.02988594945110997,30,-0.25583876883998924,-0.012804903395217355,30,-0.1440089198474309,0.13885748387951002,30,-0.5996898962159125,-0.03518072723881138,30,-0.028555661665662802,0.657427536231884,30,0.6726190476190477,1562,124,0.0793854033290653,1138,746,0.655536028119508
fashion_mnist,krum_bound30,2024,30,0.4119,0.32222222222222224,0.5189453083679414,30,-0.3032890279395723,0.5493653254339266,30,0.437716843347529,0.10686137406291452,30,-0.2447876447876448,0.14465347721501057,30,0.0027118799878642825,0.043015762684236784,30,-0.6676494432869224,-0.09143743756767597,30,-0.05310984865363252,0.5528345567476002,30,0.5214285714285714,1615,189,0.11702786377708978,1085,681,0.6276497695852534
fashion_mnist,krum_bound30,42,30,0.2835,0.32222222222222224,0.677392420503927,30,-0.4615093289831701,0.673482796894868,30,0.7098240851321681,0.12753378892885303,30,-0.03836952956986212,0.13832131372138692,30,0.12288262260852113,0.24170720906935927,30,-0.5707982332392705,0.18367752577055496,30,0.23121818414595066,0.721482683982684,30,0.7727272727272728,1519,65,0.042791310072416065,1181,805,0.6816257408975445
fashion_mnist,mdbg_l0_only,137,30,0.6616,0.0003703703703703704,0.5414058115548832,30,0.08301762727392764,0.1501626444129918,1,,0.1341127807829861,30,-0.25583876883998924,0.11792170712618034,1,,0.16317985760678919,30,-0.5996898962159125,-0.03518072723881138,30,-0.028555661665662802,0.0,30,0.0,1562,0,0.0,1138,1,0.0008787346221441124
fashion_mnist,mdbg_l0_only,2024,30,0.5434,0.07740740740740741,0.5365871005927897,30,-0.3032890279395723,0.32918301113233006,23,,0.153024453024453,30,-0.2447876447876448,0.04416942325792755,23,,0.00041262309734728603,30,-0.6676494432869224,-0.09143743756767597,30,-0.05310984865363252,0.17579521927348013,30,0.0,1615,33,0.02043343653250774,1085,176,0.1622119815668203
fashion_mnist,mdbg_l0_only,42,30,0.1998,0.38814814814814813,0.6834757568140545,30,-0.4615093289831701,0.7405914172862896,28,,0.1122881233353274,30,-0.03836952956986212,-0.023679287408181333,28,,0.3016636602334074,30,-0.5707982332392705,0.18367752577055496,30,0.23121818414595066,0.779209015622059,30,0.0,1519,113,0.07439104674127715,1181,935,0.7917019475021169
har,fed_mdbscan_g,137,30,0.34543603664743805,0.0,0.2665022954620807,30,-0.30489898148690137,,0,,-0.11238390092879257,30,0.035714285714285705,,0,,-0.14209564577587816,30,-0.5733780157693449,0.1397535649817097,30,0.13169811152094732,0.0,30,0.0,2164,0,0.0,536,0,0.0
har,fed_mdbscan_g,2024,30,0.47336274177129284,0.0,0.26639951868527467,30,-0.03722050923798113,,0,,0.057273618829682904,30,0.2749858836815359,,0,,-0.18708863783704963,30,-0.4867941850245425,-0.11825277587103374,30,-0.10504461503677524,0.0,30,0.0,2021,0,0.0,679,0,0.0
har,fed_mdbscan_g,42,30,0.4129623345775365,0.04037037037037037,0.5163707508170078,30,0.1111212081127386,0.5897758549600663,10,,-0.09502898885531313,30,0.0792079687225004,-0.030251507419984114,10,,-0.1174674238258779,30,-0.41922990408123273,-0.037527936080386064,30,-0.05806261639856116,0.0,30,0.0,2189,30,0.013704888076747372,511,79,0.15459882583170254
har,fedavg,137,30,0.34543603664743805,0.0,0.2665022954620807,30,-0.30489898148690137,,0,,-0.11238390092879257,30,0.035714285714285705,,0,,-0.14209564577587816,30,-0.5733780157693449,0.1397535649817097,30,0.13169811152094732,0.0,30,0.0,2164,0,0.0,536,0,0.0
har,fedavg,2024,30,0.47336274177129284,0.0,0.26639951868527467,30,-0.03722050923798113,,0,,0.057273618829682904,30,0.2749858836815359,,0,,-0.18708863783704963,30,-0.4867941850245425,-0.11825277587103374,30,-0.10504461503677524,0.0,30,0.0,2021,0,0.0,679,0,0.0
har,fedavg,42,30,0.4149983033593485,0.0,0.5136446027303716,30,0.1111212081127386,,0,,-0.06621705720388042,30,0.0792079687225004,,0,,-0.12132531590387106,30,-0.41922990408123273,-0.037527936080386064,30,-0.05806261639856116,0.0,30,0.0,2189,0,0.0,511,0,0.0
har,flame_hdbscan,137,30,0.1818798778418731,0.3396296296296296,0.324308278903473,30,-0.30489898148690137,0.4428959229151993,30,0.4518861348424327,-0.09073418841220698,30,0.035714285714285705,-0.07008766440504624,30,-0.07715167498104596,-0.008764211290283564,30,-0.5733780157693449,0.1397535649817097,30,0.13169811152094732,0.650103519668737,30,0.67,2164,506,0.23382624768946395,536,411,0.7667910447761194
har,flame_hdbscan,2024,30,0.3708856464200882,0.43592592592592594,0.1555862408215809,30,-0.03722050923798113,0.06661631730784151,30,-0.002870595844424768,0.0811173608999696,30,0.2749858836815359,0.055959084248880436,30,0.15300774894579097,0.269029501502462,30,-0.4867941850245425,-0.11825277587103374,30,-0.10504461503677524,0.16523809523809527,30,0.0757575757575758,2021,846,0.4186046511627907,679,331,0.48748159057437407
har,flame_hdbscan,42,30,0.32473702069901594,0.4562962962962963,0.46482077770795616,30,0.1111212081127386,0.3384413485958591,30,0.3123413560926163,-0.04879179669577042,30,0.0792079687225004,-0.3680809135139266,30,-0.2159652035930687,0.16265820846438542,30,-0.41922990408123273,-0.037527936080386064,30,-0.05806261639856116,0.6857707509881423,30,0.61,2189,809,0.3695751484696208,511,423,0.8277886497064579
har,fltrust_normalized,137,30,0.327451645741432,0.3233333333333333,-0.05072176331604722,30,-0.30489898148690137,-0.0808855212201339,30,0.3833020767974865,-0.02353309744950612,30,0.035714285714285705,0.05491411741166461,29,-0.40208322318563217,-0.31499152133419145,30,-0.5733780157693449,0.1397535649817097,30,0.13169811152094732,0.09362648221343874,30,0.45,2164,778,0.35951940850277264,536,95,0.17723880597014927
har,fltrust_normalized,2024,30,0.35629453681710216,0.28629629629629627,0.2255539613162155,30,-0.03722050923798113,-0.09936320244545015,29,0.4008989027508213,0.04769621682665161,30,0.2749858836815359,0.052193886700168265,29,-0.19672424864458837,-0.3717646487824934,30,-0.4867941850245425,-0.11825277587103374,30,-0.10504461503677524,-0.050936853002070376,30,0.4090909090909091,2021,610,0.30183077684314696,679,163,0.24005891016200295
har,fltrust_normalized,42,30,0.33966745843230406,0.3451851851851852,0.42458802874051177,30,0.1111212081127386,-0.17958408951876262,28,0.08475735342114506,-0.07745098039215687,30,0.0792079687225004,0.10256545123110544,27,-0.15706560261314087,-0.35258108325706367,30,-0.41922990408123273,-0.037527936080386064,30,-0.05806261639856116,-0.2333333333333333,30,0.21,2189,836,0.38190954773869346,511,96,0.18786692759295498
har,krum_bound30,137,30,0.3824228028503563,0.32222222222222224,0.2549925043642978,30,-0.30489898148690137,0.08704662979667127,30,0.14028914326621544,-0.14659442724458205,30,0.035714285714285705,-0.08853079663448701,30,0.06185895741317418,0.10387465257859493,30,-0.5733780157693449,0.1397535649817097,30,0.13169811152094732,0.2908549783549783,30,0.41000000000000003,2164,642,0.2966728280961183,536,228,0.4253731343283582
har,krum_bound30,2024,30,0.499151679674245,0.32222222222222224,0.23507043494751545,30,-0.03722050923798113,0.17841477413141096,30,0.2202613142268579,-0.003035008469791079,30,0.2749858836815359,-0.0030201512328258593,30,0.07881104062391008,0.28269759422240215,30,-0.4867941850245425,-0.11825277587103374,30,-0.10504461503677524,0.2653985507246377,30,0.35714285714285715,2021,553,0.2736269173676398,679,317,0.46686303387334316
