dataset,method,seed,round,n,norm_missing,fpr,accuracy,floor_n,floor_fp,nonfloor_n,nonfloor_fp,rho_samples_norm,rho_samples_reject,rho_entropy_norm,rho_samples_entropy,rho_samples_norm_nonfloor,rho_samples_reject_nonfloor,accepted_mass_fraction,quartile_gap
har,fedavg,42,13,90,0,0.0,0.4428232100441127,72,0,18,0,0.5336159754002209,,-0.1289255063465551,-0.07096107651801531,-0.09808984270523681,,1.0,0.0
har,fedavg,42,14,90,0,0.0,0.3898880217170003,72,0,18,0,0.5002701319930041,,-0.04196556996348082,-0.0011633378190514874,-0.10118741668540218,,1.0,0.0
har,fedavg,42,15,90,0,0.0,0.4468951476077367,74,0,16,0,0.5199283888935186,,-0.11123771268460786,-0.04001221531878087,0.05294117647058824,,1.0,0.0
har,fedavg,42,16,90,0,0.0,0.4373939599592806,73,0,17,0,0.5281929259275622,,-0.08996696649262201,-0.10843924211377011,-0.2121398314124317,,1.0,0.0
har,fedavg,42,17,90,0,0.0,0.4346793349168646,72,0,18,0,0.5489292246715951,,-0.11606355304753115,-0.010574013465785074,0.06914344685242517,,1.0,0.0
har,fedavg,42,18,90,0,0.0,0.4323040380047506,74,0,16,0,0.5012088922251863,,-0.057271697161038373,-0.0028176633466966542,-0.19131719675420958,,1.0,0.0
har,fedavg,42,19,90,0,0.0,0.44248388191381066,72,0,18,0,0.5411099529291924,,-0.050306940690220354,-0.02322285625451118,-0.14145587842755203,,1.0,0.0
har,fedavg,42,20,90,0,0.0,0.4458771632168307,74,0,16,0,0.5062852070281569,,-0.12193785246302455,-0.07768602554476182,-0.21192058717389364,,1.0,0.0
har,fedavg,42,21,90,0,0.0,0.43603664743807263,73,0,17,0,0.5118805034612421,,-0.038607245682523716,0.007907897410465234,-0.04901960784313726,,1.0,0.0
har,fedavg,42,22,90,0,0.0,0.4387512724804886,73,0,17,0,0.49822880713207307,,-0.12071277934471758,-0.05889499683874508,-0.14469653240847943,,1.0,0.0
har,fedavg,42,23,90,0,0.0,0.4353579911774686,72,0,18,0,0.5214912853415544,,-0.00984717331470702,0.020885929307586718,-0.18585443880992236,,1.0,0.0
har,fedavg,42,24,90,0,0.0,0.4458771632168307,74,0,16,0,0.48695117494573986,,-0.1120605669976173,-0.03868609618250127,-0.0588235294117647,,1.0,0.0
har,fedavg,42,25,90,0,0.0,0.42042755344418054,73,0,17,0,0.5127287407245805,,-0.11880182565596703,-0.062239171389591806,-0.0453709466026588,,1.0,0.0
har,fedavg,42,26,90,0,0.0,0.4397692568713946,74,0,16,0,0.5145604647361628,,-0.08676143184422609,-0.09829663478661294,-0.18837385526568326,,1.0,0.0
har,fedavg,42,27,90,0,0.0,0.4166949440108585,73,0,17,0,0.5008684459157465,,-0.123972415015834,-0.06808839901511668,-0.08093195880474273,,1.0,0.0
har,fedavg,42,28,90,0,0.0,0.4295894129623346,71,0,19,0,0.5366629127211178,,-0.016831727313524357,0.008433609977528596,-0.044756476445512915,,1.0,0.0
har,fedavg,42,29,90,0,0.0,0.4149983033593485,72,0,18,0,0.4893237402879495,,-0.07346746635461983,0.013256146324811499,-0.08363449746446507,,1.0,0.0
har,flame_hdbscan,137,0,90,0,0.32222222222222224,0.18052256532066507,75,17,15,12,-0.30489898148690137,0.4518861348424327,-0.5733780157693449,0.13169811152094732,0.035714285714285705,-0.07715167498104596,0.37425269031486647,0.67
har,flame_hdbscan,137,1,90,0,0.3333333333333333,0.18052256532066507,71,15,19,15,-0.22848685548685954,0.4946491924497968,-0.47233358331848757,0.12501475664948175,0.014035087719298246,-0.023570226039551584,0.3680926916221034,0.7065217391304348
har,flame_hdbscan,137,2,90,0,0.35555555555555557,0.18052256532066507,70,17,20,15,0.21378179551438828,0.43158448141837474,-0.07610307954943046,0.15334778650113592,-0.1639097744360902,-0.07008766440504624,0.3827479338842975,0.62
har,flame_hdbscan,137,3,90,0,0.32222222222222224,0.18052256532066507,73,16,17,13,0.3044959184096956,0.4428959229151993,-0.00984614023436883,0.142233807874896,-0.10539215686274511,-0.22645540682891915,0.4245970836531082,0.6273291925465838
har,flame_hdbscan,137,4,90,0,0.3333333333333333,0.18052256532066507,71,15,19,15,0.34256299924116734,0.4844764584148396,-0.016919492769088617,0.17879326152089098,-0.12280701754385966,-0.21213203435596428,0.38218891599860577,0.6590909090909091
har,flame_hdbscan,137,5,90,0,0.35555555555555557,0.18052256532066507,70,17,20,15,0.3270242715657424,0.43158448141837474,0.05347487763901066,0.17642428163894058,-0.025563909774436087,-0.07008766440504624,0.3827479338842975,0.6147368421052631
har,flame_hdbscan,137,6,90,0,0.35555555555555557,0.18052256532066507,70,17,20,15,0.39610546238040817,0.43158448141837474,-0.08266208055032434,0.12280145415653147,-0.05864661654135337,-0.07008766440504624,0.3827479338842975,0.6130952380952381
har,flame_hdbscan,137,7,90,0,0.34444444444444444,0.18052256532066507,72,18,18,13,0.3126352655936513,0.38973348064455304,-0.077488184236067,0.09660771740093821,-0.2507739938080495,-0.08367596467078565,0.4179243525246879,0.6047430830039525
har,flame_hdbscan,137,8,90,0,0.32222222222222224,0.18052256532066507,71,15,19,14,0.39611694941385117,0.4495811164493189,-0.06839103974232673,0.15353819128777,-0.11929824561403508,-0.08728715609439695,0.41172227231740305,0.6123188405797101
har,flame_hdbscan,137,9,90,0,0.3333333333333333,0.18052256532066507,72,17,18,13,0.3113037996828201,0.40454886617112495,-0.08038408411900419,0.09660771740093821,-0.12280701754385966,-0.08367596467078565,0.4216508291410471,0.6004140786749482
har,flame_hdbscan,137,10,90,0,0.4888888888888889,0.18052256532066507,74,29,16,15,0.380077829518725,0.4050367144837054,0.007416265928592208,0.18585007748829835,-0.22941176470588234,-0.42008402520840293,0.2611287758346582,0.8214285714285714
har,flame_hdbscan,137,11,90,0,0.32222222222222224,0.18052256532066507,72,16,18,13,0.2641958287845645,0.4185584710792434,0.2341812113173658,0.11541758105314524,-0.04437564499484004,-0.10758338314815298,0.44261341605273363,0.6480331262939958
har,flame_hdbscan,137,12,90,0,0.34444444444444444,0.18052256532066507,71,16,19,15,0.32232740497083406,0.47872805923137507,0.09950000436971977,0.14318270680725523,-0.10701754385964912,-0.023570226039551584,0.36452762923351156,0.6873706004140787
har,flame_hdbscan,137,13,90,0,0.34444444444444444,0.18052256532066507,70,16,20,15,0.41404598450781277,0.44712703086823724,0.008646663404970084,0.190977938024765,-0.09323308270676692,-0.07008766440504624,0.3861914600550964,0.7083333333333334
har,flame_hdbscan,137,14,90,0,0.32222222222222224,0.18052256532066507,73,17,17,12,0.3610969884667723,0.3919729423682173,0.06881052266739664,0.1910819251517279,-0.13725490196078433,-0.026352313834736497,0.4147138964577657,0.6688311688311689
har,flame_hdbscan,137,15,90,0,0.34444444444444444,0.18052256532066507,72,17,18,14,0.4171023166151458,0.4547964253471975,-0.05366125566414253,0.11996042726748006,0.0608875128998968,0.05151400834889318,0.36001554303477756,0.6521739130434783
