dataset,scenario,mode,method,seed,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,fallback_rounds,l0_rejections,asr,extra_rejections,floor_honest_n,floor_honest_rejected,floor_fpr,above_floor_honest_n,above_floor_honest_rejected,above_floor_fpr
mnist,cut_minmax,attacked,fed_mdbscan_g,2024,0.1407,0.1427,0.1379371323827261,0.0,0.0,0.0,0,0,,0,1217,0,0.0,943,0,0.0
mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,42,0.1339,0.13512,0.13329311386360532,0.0,0.0,0.0,0,0,,0,1090,0,0.0,1070,0,0.0
mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,137,0.1449,0.1472,0.13884248961737922,0.0,0.0,0.0,0,0,,0,1163,0,0.0,997,0,0.0
mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,2024,0.1407,0.1427,0.1379371323827261,0.0,0.0,0.0,0,0,,0,1217,0,0.0,943,0,0.0
mnist,cut_minmax,attacked,mdbg_l0_only,42,0.1339,0.13512,0.13329311386360532,0.0,0.0,0.0,0,0,,0,1090,0,0.0,1070,0,0.0
mnist,cut_minmax,attacked,mdbg_l0_only,137,0.1449,0.1472,0.13884248961737922,0.0,0.0,0.0,0,0,,0,1163,0,0.0,997,0,0.0
mnist,cut_minmax,attacked,mdbg_l0_only,2024,0.1407,0.1427,0.1379371323827261,0.0,0.0,0.0,0,0,,0,1217,0,0.0,943,0,0.0
mnist,cut_minmax,attacked,fedavg,42,0.1339,0.13512,0.13329311386360532,0.0,0.0,0.0,0,0,,0,1090,0,0.0,1070,0,0.0
mnist,cut_minmax,attacked,fedavg,137,0.1449,0.1472,0.13884248961737922,0.0,0.0,0.0,0,0,,0,1163,0,0.0,997,0,0.0
mnist,cut_minmax,attacked,fedavg,2024,0.1407,0.1427,0.1379371323827261,0.0,0.0,0.0,0,0,,0,1217,0,0.0,943,0,0.0
mnist,cut_backdoor,clean,fed_mdbscan_g,42,0.872,0.8739399999999999,0.8699068160728537,0.0,,0.0,0,0,0.008093126385809312,0,114,0,0.0,2586,0,0.0
mnist,cut_backdoor,clean,fed_mdbscan_g,137,0.8767,0.8725400000000001,0.8742276149152582,0.0,,0.0,0,0,0.015631929046563194,0,165,0,0.0,2535,0,0.0
mnist,cut_backdoor,clean,fed_mdbscan_g,2024,0.8722,0.87002,0.8699311355291097,0.0,,0.0,0,0,0.01197339246119734,0,104,0,0.0,2596,0,0.0
mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,42,0.872,0.8739399999999999,0.8699068160728537,0.0,,0.0,0,0,0.008093126385809312,0,114,0,0.0,2586,0,0.0
