dataset,scenario,method,seed,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,floor_fpr,above_floor_fpr,asr,extra_rejections,fallback_rounds
fashion_mnist,cut_gaussian,mdbg_l0_only,42,0.3913,0.38470000000000004,0.3913000000000001,-0.38925925925925925,,0.06666666666666665,-0.07631055076310551,-0.7848205750908785,,0,0
fashion_mnist,cut_gaussian,mdbg_l0_only,137,-0.01539999999999997,-0.01871999999999996,-0.01540000000000008,0.0,,1.0,0.0,0.0,,0,0
fashion_mnist,cut_gaussian,mdbg_l0_only,2024,0.09909999999999997,0.09079999999999988,0.09909999999999997,-0.07157407407407408,,0.4,-0.023442319555829736,-0.14311467930951827,,0,0
fashion_mnist,cut_gaussian,fedavg,42,-0.09089999999999998,-0.13422,-0.09089999999999998,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_gaussian,fedavg,137,-0.17809999999999993,-0.19019999999999998,-0.17809999999999993,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_gaussian,fedavg,2024,-0.134,-0.13246000000000002,-0.13400000000000012,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_minmax,fed_mdbscan_g,42,0.006399999999999989,0.007199999999999984,0.006400000000000017,-0.39296296296296296,,-0.9333333333333333,-0.07631055076310551,-0.7929589270746018,,0,-4
fashion_mnist,cut_minmax,fed_mdbscan_g,137,-0.3893,-0.38624,-0.3893,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_minmax,fed_mdbscan_g,2024,-0.22040000000000004,-0.22192,-0.22040000000000004,-0.09148148148148148,,-0.6,-0.023442319555829736,-0.1936978683966636,,-28,0
fashion_mnist,cut_minmax,mdbg_no_snnc_cutoff,42,0.006399999999999989,0.007199999999999984,0.006400000000000017,-0.39814814814814814,,-0.9333333333333333,-0.0836098208360982,-0.7954735959765298,,-13,-23
fashion_mnist,cut_minmax,mdbg_no_snnc_cutoff,137,-0.3893,-0.38624,-0.3893,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_minmax,mdbg_no_snnc_cutoff,2024,-0.2248,-0.22404000000000002,-0.2248,-0.08296296296296296,,-0.6,-0.024059222702035782,-0.17145505097312327,,-2,0
fashion_mnist,cut_minmax,mdbg_l0_only,42,0.006399999999999989,0.007199999999999984,0.006400000000000017,-0.39296296296296296,,-0.9333333333333333,-0.07631055076310551,-0.7929589270746018,,0,0
fashion_mnist,cut_minmax,mdbg_l0_only,137,-0.3893,-0.38624,-0.3893,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_minmax,mdbg_l0_only,2024,-0.2248,-0.22408000000000006,-0.2248,-0.08222222222222222,,-0.6,-0.023442319555829736,-0.1705282669138091,,0,0
fashion_mnist,cut_minmax,fedavg,42,-0.3999,-0.39454,-0.3998999999999999,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_minmax,fedavg,137,-0.3893,-0.38624,-0.3893,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_minmax,fedavg,2024,-0.3319,-0.32854000000000005,-0.3319000000000001,0.0,,0.0,0.0,0.0,,0,0
fashion_mnist,cut_backdoor,fed_mdbscan_g,42,-0.0037000000000000366,-0.0046799999999999065,-0.0037000000000000366,0.0,,0.0,0.0,0.0,0.5252222222222223,0,0
fashion_mnist,cut_backdoor,fed_mdbscan_g,137,-0.0023999999999999577,-0.0025799999999999157,-0.0024000000000000687,0.0,,0.0,0.0,0.0,0.49077777777777776,0,0
fashion_mnist,cut_backdoor,fed_mdbscan_g,2024,-0.0050000000000000044,-0.005539999999999989,-0.0050000000000000044,-0.00037037037037037035,,0.0,0.0,-0.0003897116134060795,0.4305555555555556,0,0
fashion_mnist,cut_backdoor,mdbg_no_snnc_cutoff,42,-0.0037000000000000366,-0.0046799999999999065,-0.0037000000000000366,0.0,,0.0,0.0,0.0,0.5252222222222223,0,0
fashion_mnist,cut_backdoor,mdbg_no_snnc_cutoff,137,-0.0023999999999999577,-0.0025799999999999157,-0.0024000000000000687,0.0,,0.0,0.0,0.0,0.49077777777777776,0,0
