dataset,scenario,mode,seed,round,gate_reason,layer,density_gap,alert,l0_guard,l0_rejected,threshold,max_distance_over_threshold,malicious_max_distance_over_threshold,distance_auc,constraint_ratio
fashion_mnist,cut_backdoor,attacked,2024,22,density_gap_without_l0_support,L0_only,1,0,False,0,0.7798724621534348,0.7179887861888739,0.6782947723432402,0.5625,
fashion_mnist,cut_backdoor,attacked,2024,23,density_gap_without_l0_support,L0_only,1,0,False,0,0.8167994022369385,0.6987490896566017,0.6354562517057537,0.46990740740740744,
fashion_mnist,cut_backdoor,attacked,2024,24,density_gap_without_l0_support,L0_only,1,0,False,0,0.7832062616944313,0.7737341736478439,0.7737341736478439,0.5787037037037037,
fashion_mnist,cut_backdoor,attacked,2024,25,density_gap_without_l0_support,L0_only,1,0,False,0,0.7808580994606018,0.7245217689995707,0.7245217689995707,0.5625,
fashion_mnist,cut_backdoor,attacked,2024,26,density_gap_without_l0_support,L0_only,1,0,False,0,0.8042758330702782,0.752527731504244,0.6958443307117798,0.5200617283950617,
fashion_mnist,cut_backdoor,attacked,2024,27,no_density_gap,L0_only,0,0,False,0,0.8057820051908493,0.6813417964991845,0.6634918113442755,0.5216049382716049,
fashion_mnist,cut_backdoor,attacked,2024,28,density_gap_without_l0_support,L0_only,1,0,False,0,0.7689377665519714,0.7111588693114719,0.6955025857254313,0.5933641975308641,
fashion_mnist,cut_backdoor,attacked,2024,29,density_gap_without_l0_support,L0_only,1,0,False,0,0.7719336077570915,0.7525722036142767,0.7484941848863267,0.5177469135802469,
fashion_mnist,cut_backdoor,attacked,42,0,density_gap_without_l0_support,L0_only,1,0,False,0,1.3502752035856247,0.5534288060306723,0.4022566354175754,0.16049382716049382,
fashion_mnist,cut_backdoor,attacked,42,1,density_gap_without_l0_support,L0_only,1,0,False,0,1.3033966720104218,0.5841959714629573,0.4270771047315137,0.1720679012345679,
fashion_mnist,cut_backdoor,attacked,42,2,density_gap_without_l0_support,L0_only,1,0,False,0,1.2306131795048714,0.5813945084069542,0.46507152126590945,0.14660493827160492,
fashion_mnist,cut_backdoor,attacked,42,3,density_gap_without_l0_support,L0_only,1,0,False,0,1.173960193991661,0.6090145054522138,0.532146124928895,0.1875,
fashion_mnist,cut_backdoor,attacked,42,4,density_gap_without_l0_support,L0_only,1,0,False,0,1.1315840110182762,0.6267755040068671,0.49154768871869303,0.2253086419753086,
fashion_mnist,cut_backdoor,attacked,42,5,density_gap_without_l0_support,L0_only,1,0,False,0,1.0815715044736862,0.6390362706657279,0.5090269923267882,0.2800925925925926,
fashion_mnist,cut_backdoor,attacked,42,6,density_gap_without_l0_support,L0_only,1,0,False,0,1.0726530104875565,0.6687824084412587,0.5020876361968076,0.2646604938271605,
fashion_mnist,cut_backdoor,attacked,42,7,density_gap_without_l0_support,L0_only,1,0,False,0,1.038680039346218,0.6763410540654486,0.5199076747225032,0.2993827160493827,
fashion_mnist,cut_backdoor,attacked,42,8,density_gap_without_l0_support,L0_only,1,0,False,0,1.018148697912693,0.7277623155276438,0.498034837792973,0.32021604938271603,
fashion_mnist,cut_backdoor,attacked,42,9,density_gap_without_l0_support,L0_only,1,0,False,0,0.9941904619336128,0.734782438448842,0.49637122443058473,0.2962962962962963,
fashion_mnist,cut_backdoor,attacked,42,10,density_gap_without_l0_support,L0_only,1,0,False,0,0.9904584661126137,0.6745956856207581,0.49907461112149404,0.3317901234567901,
fashion_mnist,cut_backdoor,attacked,42,11,density_gap_without_l0_support,L0_only,1,0,False,0,0.970580205321312,0.7071675878241858,0.5349476126604726,0.3310185185185185,
fashion_mnist,cut_backdoor,attacked,42,12,density_gap_without_l0_support,L0_only,1,0,False,0,0.9580966457724571,0.6945339678959804,0.4595946663112315,0.36342592592592593,
fashion_mnist,cut_backdoor,attacked,42,13,density_gap_without_l0_support,L0_only,1,0,False,0,0.9644169732928276,0.737648761291315,0.5195631351234885,0.33641975308641975,
fashion_mnist,cut_backdoor,attacked,42,14,density_gap_without_l0_support,L0_only,1,0,False,0,0.9285494685173035,0.7910751212811267,0.5349975848085259,0.3950617283950617,
fashion_mnist,cut_backdoor,attacked,42,15,density_gap_without_l0_support,L0_only,1,0,False,0,0.9290021657943726,0.7726523106851182,0.5505414771010267,0.3773148148148148,
fashion_mnist,cut_backdoor,attacked,42,16,density_gap_without_l0_support,L0_only,1,0,False,0,0.9127118438482285,0.7529825567902463,0.6060920256802107,0.43981481481481477,
fashion_mnist,cut_backdoor,attacked,42,17,density_gap_without_l0_support,L0_only,1,0,False,0,0.902949869632721,0.7267636082549425,0.5925859719314528,0.42592592592592593,
fashion_mnist,cut_backdoor,attacked,42,18,density_gap_without_l0_support,L0_only,1,0,False,0,0.8941624313592911,0.7393852887762895,0.5387599369898707,0.4320987654320988,
fashion_mnist,cut_backdoor,attacked,42,19,density_gap_without_l0_support,L0_only,1,0,False,0,0.9016988053917885,0.7746967470450997,0.552679991933829,0.38811728395061723,
fashion_mnist,cut_backdoor,attacked,42,20,density_gap_without_l0_support,L0_only,1,0,False,0,0.9006432816386223,0.7766579878385003,0.5497564717810826,0.4174382716049383,
fashion_mnist,cut_backdoor,attacked,42,21,density_gap_without_l0_support,L0_only,1,0,False,0,0.8977870643138885,0.8018350368891212,0.5475527336589019,0.41820987654320985,
fashion_mnist,cut_backdoor,attacked,42,22,density_gap_without_l0_support,L0_only,1,0,False,0,0.8874953538179398,0.8169416428015975,0.5822892517739401,0.357253086419753,
fashion_mnist,cut_backdoor,attacked,42,23,density_gap_without_l0_support,L0_only,1,0,False,0,0.8781491965055466,0.8168550673030316,0.5897985282767249,0.41666666666666663,
fashion_mnist,cut_backdoor,attacked,42,24,density_gap_without_l0_support,L0_only,1,0,False,0,0.8900552615523338,0.7974246699943023,0.5149305931520273,0.408179012345679,
fashion_mnist,cut_backdoor,attacked,42,25,density_gap_without_l0_support,L0_only,1,0,False,0,0.8679510653018951,0.7755187587525652,0.549966049876037,0.4382716049382716,
