dataset,scenario,mode,seed,factor,fp,tn,tp,fn,fpr,tpr
fashion_mnist,cut_minmax,clean,137,1.25,800,1900,0,0,0.2962962962962963,
fashion_mnist,cut_minmax,clean,137,1.5,481,2219,0,0,0.17814814814814814,
fashion_mnist,cut_minmax,clean,137,2.0,29,2671,0,0,0.01074074074074074,
fashion_mnist,cut_minmax,clean,137,2.5,0,2700,0,0,0.0,
fashion_mnist,cut_minmax,clean,2024,1.0,1350,1350,0,0,0.5,
fashion_mnist,cut_minmax,clean,2024,1.25,944,1756,0,0,0.3496296296296296,
fashion_mnist,cut_minmax,clean,2024,1.5,679,2021,0,0,0.2514814814814815,
fashion_mnist,cut_minmax,clean,2024,2.0,398,2302,0,0,0.1474074074074074,
fashion_mnist,cut_minmax,clean,2024,2.5,219,2481,0,0,0.0811111111111111,
mnist,cut_backdoor,attacked,42,1.0,1220,940,130,410,0.5648148148148148,0.24074074074074073
mnist,cut_backdoor,attacked,42,1.25,390,1770,31,509,0.18055555555555555,0.05740740740740741
mnist,cut_backdoor,attacked,42,1.5,123,2037,0,540,0.05694444444444444,0.0
mnist,cut_backdoor,attacked,42,2.0,0,2160,0,540,0.0,0.0
mnist,cut_backdoor,attacked,42,2.5,0,2160,0,540,0.0,0.0
mnist,cut_backdoor,attacked,137,1.0,1186,974,164,376,0.549074074074074,0.3037037037037037
mnist,cut_backdoor,attacked,137,1.25,483,1677,17,523,0.22361111111111112,0.03148148148148148
mnist,cut_backdoor,attacked,137,1.5,111,2049,0,540,0.05138888888888889,0.0
mnist,cut_backdoor,attacked,137,2.0,0,2160,0,540,0.0,0.0
mnist,cut_backdoor,attacked,137,2.5,0,2160,0,540,0.0,0.0
mnist,cut_backdoor,attacked,2024,1.0,1165,995,185,355,0.5393518518518519,0.3425925925925926
mnist,cut_backdoor,attacked,2024,1.25,343,1817,14,526,0.1587962962962963,0.025925925925925925
mnist,cut_backdoor,attacked,2024,1.5,99,2061,0,540,0.04583333333333333,0.0
mnist,cut_backdoor,attacked,2024,2.0,1,2159,0,540,0.000462962962962963,0.0
mnist,cut_backdoor,attacked,2024,2.5,0,2160,0,540,0.0,0.0
mnist,cut_backdoor,clean,42,1.0,1350,1350,0,0,0.5,
mnist,cut_backdoor,clean,42,1.25,481,2219,0,0,0.17814814814814814,
mnist,cut_backdoor,clean,42,1.5,181,2519,0,0,0.06703703703703703,
mnist,cut_backdoor,clean,42,2.0,0,2700,0,0,0.0,
mnist,cut_backdoor,clean,42,2.5,0,2700,0,0,0.0,
mnist,cut_backdoor,clean,137,1.0,1350,1350,0,0,0.5,
mnist,cut_backdoor,clean,137,1.25,402,2298,0,0,0.14888888888888888,
mnist,cut_backdoor,clean,137,1.5,92,2608,0,0,0.034074074074074076,
mnist,cut_backdoor,clean,137,2.0,0,2700,0,0,0.0,
mnist,cut_backdoor,clean,137,2.5,0,2700,0,0,0.0,
mnist,cut_backdoor,clean,2024,1.0,1350,1350,0,0,0.5,
mnist,cut_backdoor,clean,2024,1.25,429,2271,0,0,0.15888888888888889,
mnist,cut_backdoor,clean,2024,1.5,127,2573,0,0,0.04703703703703704,
mnist,cut_backdoor,clean,2024,2.0,1,2699,0,0,0.00037037037037037035,
mnist,cut_backdoor,clean,2024,2.5,0,2700,0,0,0.0,
mnist,cut_gaussian,attacked,42,1.0,810,1350,540,0,0.375,1.0
mnist,cut_gaussian,attacked,42,1.25,401,1759,540,0,0.18564814814814815,1.0
mnist,cut_gaussian,attacked,42,1.5,85,2075,540,0,0.03935185185185185,1.0
mnist,cut_gaussian,attacked,42,2.0,0,2160,540,0,0.0,1.0
mnist,cut_gaussian,attacked,42,2.5,0,2160,540,0,0.0,1.0
mnist,cut_gaussian,attacked,137,1.0,810,1350,540,0,0.375,1.0
mnist,cut_gaussian,attacked,137,1.25,728,1432,540,0,0.337037037037037,1.0
