dataset,seed,round,arm,client,group,samples,stage,norm,l0_distance,l0_threshold,margin,distance_threshold_ratio,unique_examples
mnist,137,0,C,56,above,4874,accepted,0.5931724905967712,0.6767467260360718,0.8916930854320526,-0.21494635939598083,0.7589458044391667,20
mnist,137,0,C,57,floor,20,accepted,0.6551356911659241,0.2713533341884613,0.8916930854320526,-0.6203397512435913,0.3043124799571394,20
mnist,137,0,C,59,floor,20,accepted,0.6403540968894958,0.2561802566051483,0.8916930854320526,-0.6355128288269043,0.28729644850954644,20
mnist,137,0,C,60,floor,20,accepted,0.6465954780578613,0.2691769599914551,0.8916930854320526,-0.6225161254405975,0.30187175878013073,20
mnist,137,0,C,63,floor,20,accepted,0.5437594652175903,0.5070348978042603,0.8916930854320526,-0.38465818762779236,0.5686204211829077,20
mnist,137,0,C,64,floor,20,accepted,0.6476796269416809,0.2770940959453583,0.8916930854320526,-0.6145989894866943,0.310750526691701,20
mnist,137,0,C,65,above,29,accepted,0.7082919478416443,0.3589663803577423,0.8916930854320526,-0.5327267050743103,0.40256719068737884,20
mnist,137,0,C,66,above,366,accepted,0.6689961552619934,0.804374635219574,0.8916930854320526,-0.08731845021247864,0.9020756674700801,20
mnist,137,0,C,67,floor,20,accepted,0.6126968860626221,0.2171028107404709,0.8916930854320526,-0.6745902746915817,0.2434725740138244,20
mnist,137,0,C,69,above,2867,accepted,0.6691961288452148,0.8184834718704224,0.8916930854320526,-0.07320961356163025,0.9178981930468173,20
mnist,137,0,C,70,above,25,accepted,0.7482393383979797,0.8624640107154846,0.8916930854320526,-0.029229074716567993,0.9672207004920246,20
mnist,137,0,C,72,floor,20,accepted,0.6178298592567444,0.24258087575435638,0.8916930854320526,-0.6491122096776962,0.2720452583041154,20
mnist,137,0,C,73,above,169,accepted,0.7546638250350952,0.8748010396957397,0.8916930854320526,-0.016892045736312866,0.9810562109179884,20
mnist,137,0,C,75,floor,20,accepted,0.6918120980262756,0.6976575255393982,0.8916930854320526,-0.19403555989265442,0.7823964735594666,20
mnist,137,0,C,76,floor,20,accepted,0.5617309808731079,0.22128741443157196,0.8916930854320526,-0.6704056710004807,0.24816544845623809,20
mnist,137,0,C,77,floor,20,accepted,0.6485844850540161,0.24195502698421478,0.8916930854320526,-0.6497380584478378,0.27134339262817114,20
mnist,137,0,C,78,above,38,accepted,0.6226399540901184,0.38669833540916443,0.8916930854320526,-0.5049947500228882,0.43366752723197044,20
mnist,137,0,C,79,above,5435,accepted,0.6570133566856384,0.26153960824012756,0.8916930854320526,-0.630153477191925,0.2933067582478826,20
mnist,137,0,C,80,above,257,accepted,0.6592926979064941,0.8178369402885437,0.8916930854320526,-0.07385614514350891,0.9171731323813918,20
mnist,137,0,C,81,floor,20,accepted,0.675729513168335,0.3283456861972809,0.8916930854320526,-0.5633473992347717,0.36822724271567875,20
mnist,137,0,C,82,above,109,accepted,0.7208978533744812,0.35623395442962646,0.8916930854320526,-0.5354591310024261,0.3995028785683812,20
mnist,137,0,C,83,above,51,accepted,0.7318800687789917,0.8626195788383484,0.8916930854320526,-0.029073506593704224,0.9673951642457592,20
mnist,137,0,C,84,above,171,accepted,0.7211090922355652,0.8563982248306274,0.8916930854320526,-0.03529486060142517,0.9604181515164226,20
mnist,137,0,C,85,above,2323,accepted,0.6913166642189026,0.8640833497047424,0.8916930854320526,-0.02760973572731018,0.9690367277952678,20
mnist,137,0,C,86,above,1497,accepted,0.6104729175567627,0.7431764602661133,0.8916930854320526,-0.14851662516593933,0.833444233680495,20
mnist,137,0,C,87,floor,20,accepted,0.6654381155967712,0.27214041352272034,0.8916930854320526,-0.6195526719093323,0.3051951596000769,20
mnist,137,0,C,88,above,2129,accepted,0.7031681537628174,0.8581379652023315,0.8916930854320526,-0.03355512022972107,0.9623692044068475,20
mnist,137,0,C,89,floor,20,accepted,0.6734139323234558,0.2970009744167328,0.8916930854320526,-0.5946921110153198,0.33307533642343623,20
mnist,137,0,C,90,floor,20,accepted,0.6129478216171265,0.2485615760087967,0.8916930854320526,-0.6431315094232559,0.278752386969964,20
mnist,137,0,C,92,above,3674,accepted,0.7386371493339539,0.8750160336494446,0.8916930854320526,-0.016677051782608032,0.9812973184887629,20
mnist,137,0,C,93,floor,20,accepted,0.6320975422859192,0.2471124678850174,0.8916930854320526,-0.6445806175470352,0.2771272671305776,20
