dataset,scenario,mode,seed,round,label_semantics,reference,client_id,actual_attacker,latent_assigned,sample_count,update_norm,top5_cosine_similarity,negative_cosine_other_clients_mean,exact_duplicate_peers,oracle_negative_cosine_honest_mean
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,75,0,0,20,0.763498755406611,0.9535237823621131,-0.39034891888939327,0.0,-0.41065390072817504
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,76,0,0,20,0.664648662774181,0.9635339799833298,-0.7483099239005876,0.0,-0.7575313724319388
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,79,0,0,20,0.7635698826398911,0.9558431815202446,-0.39337399055666267,0.0,-0.4136253358313334
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,80,0,0,27,0.7280807780648896,0.9164427693389599,-0.15502352159887553,0.0,-0.17720389905718256
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,81,0,0,20,0.7089028041434065,0.9811165224558381,-0.75901301051929,0.0,-0.7684991263476728
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,82,0,0,813,0.7969919410446495,0.9922835629276563,-0.17321444497021316,0.0,-0.19736817801029677
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,83,0,0,20,0.6400307623558809,0.907430965121964,-0.3784150675547928,0.0,-0.39558802307083896
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,85,0,0,4566,0.7061183856331819,0.25469091509433306,0.061022307431927596,0.0,0.03916022429863038
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,86,0,0,2231,0.5393700037990063,0.5257193718250646,0.08001065207229835,0.0,0.06336414037664936
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,88,0,0,20,0.71490966660798,0.9770727315104629,-0.756533607258565,0.0,-0.7661857874340604
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,89,0,0,2668,0.6669717495701178,0.8500346890501408,-0.3889593019049246,0.0,-0.4066957931533848
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,91,0,0,20,0.6780171703111016,0.9668280318383179,-0.7479916067963233,0.0,-0.7574114875533214
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,92,0,0,950,0.7178662664878538,0.411299586531004,0.033882684097432544,0.0,0.011586771339269919
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,93,0,0,954,0.7409760784367326,0.6703229031894717,-0.015690750245923413,0.0,-0.038750236700464236
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,94,0,0,20,0.7502975945458069,0.9586356441709277,-0.39145386957827755,0.0,-0.4113842073426586
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,95,0,0,20,0.6507223478388656,0.8225812420029864,-0.3475746914491398,0.0,-0.3654835962370855
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,96,0,0,541,0.6277029119598901,0.24560093141705677,0.0376056883938788,0.0,0.018120373681075125
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,97,0,0,20,0.6680742881922886,0.9648315469410373,-0.7463058821301792,0.0,-0.7556383460412173
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,98,1,1,216,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,99,1,1,3039,0.5313198005953294,1.0,0.9999999999999939,17.0,0.9999999999999953
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,0,0,0,20,0.34995233854101493,0.982603669533268,0.8776987983593872,0.0,-0.3356743243510031
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,1,0,0,2195,0.626730651348919,0.598897316985832,0.9641500460587527,0.0,-0.032396108038515406
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,2,0,0,1190,0.6783384683825209,0.9598740628636593,0.9691646778400378,0.0,-0.33940039711419784
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,3,1,1,29,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,4,0,0,20,0.7372034415679104,0.7732677429040676,0.9738034265525232,0.0,-0.03379731375439834
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,6,1,1,20,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,7,0,0,20,0.35305614885517594,0.9824264404266818,0.8785456517112219,0.0,-0.38530947941126553
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,8,0,0,20,0.33085736044709346,0.9811792351130769,0.8613404458980847,0.0,-0.38625215500923604
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,9,0,0,763,0.7366320427909422,0.4820448110868435,0.9743721914436992,0.0,0.03762451168762108
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,10,0,0,20,0.3411337189879153,0.8688686890222289,0.8684857898899814,0.0,-0.4786468940727402
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,11,0,0,20,0.39150746843984235,0.8148949114602573,0.9020446034633159,0.0,-0.43781282731254967
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,12,0,0,177,0.5633166097033706,0.6295889874965297,0.9552032970257481,0.0,-0.08354827453599709
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,13,1,1,109,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,14,1,1,20,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,15,1,1,20,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,16,0,0,20,0.3505667569291064,0.9563693943056408,0.881896722483953,0.0,-0.24573333506468195
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,17,0,0,1491,0.7153456635942075,0.395877310347272,0.9725606339367205,0.0,0.005178546891655246
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,18,0,0,38,0.34556339934757785,0.988093726653991,0.8733943473250202,0.0,-0.37363274955859677
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,20,1,1,20,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,21,0,0,20,0.3552166776463772,0.9841457212201554,0.8803271038207555,0.0,-0.37208566040872965
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,22,0,0,20,0.35468731025550226,0.981512124457048,0.8807651185138929,0.0,-0.34121048893702344
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,24,0,0,20,0.34282746110441775,0.9854816843556409,0.8718807331111705,0.0,-0.35605199890027994
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,25,0,0,20,0.6484415863375518,0.5800579533851287,0.9654607046310514,0.0,-0.25000509401766113
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,26,0,0,20,0.36231336304963874,0.980698028523779,0.885993099767347,0.0,-0.33199934870860853
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,27,0,0,421,0.7029561441216007,0.3995478939825599,0.9714417505260282,0.0,-0.013487177157669871
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,29,1,1,20,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,30,0,0,20,0.32688162473457294,0.984904979742519,0.8592595584073398,0.0,-0.3530249280985586
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,32,1,1,20,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,33,0,0,20,0.370439271231591,0.9780186145321466,0.891524063516782,0.0,-0.31008374910395514
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,34,0,0,20,0.593283942523126,0.891942185471897,0.959197164374241,0.0,-0.35793401916219014
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,35,0,0,20,0.3622997708690885,0.9856873096210723,0.8855670149796872,0.0,-0.34814821676020635
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,36,0,0,20,0.5578672282714199,0.9092601100673541,0.954645589791048,0.0,-0.4330510319332964
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,37,0,0,20,0.3417242842806309,0.9843079702688797,0.8717258176771058,0.0,-0.33719899162782474
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,38,0,0,20,0.608584325477731,0.885944256504861,0.9614744663232809,0.0,-0.3674428503300433
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,39,0,0,43,0.7526684446389527,0.6657996487995951,0.9746171434852826,0.0,-0.07667751525439466
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,40,0,0,40,0.5130628924425961,0.8992235761863299,0.9536411537168868,0.0,-0.637898141121192
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,41,1,1,4673,0.6361226745231486,0.9999999999999989,0.9999999999999163,17.0,1.0000000000000053
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,42,0,0,20,0.3516740333698619,0.9795306207409672,0.8777326984597641,0.0,-0.3775661281093783
