dataset,scenario,mode,seed,round,label_semantics,reference,score,auc,n,positive_n,zero_update_n,positive_median,negative_median,positive_min,positive_max,negative_min,negative_max
mnist,cut_minmax,attacked,2024,29,actual_attacker,4,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999990599,0.8626382637655097,0.9999999999990599,0.9999999999990599,0.7655819981718652,0.9370298325510893
mnist,cut_minmax,attacked,2024,29,actual_attacker,4,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,2024,29,actual_attacker,4,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.0000000000000075,-0.37921701218552417,1.0000000000000075,1.0000000000000075,-0.7743776755058674,0.15769943696668282
mnist,cut_minmax,attacked,42,0,actual_attacker,5,top5_cosine_similarity,1.0,90,18,0,1.0000000000000002,0.887930365576427,1.0000000000000002,1.0000000000000002,0.26281794837975514,0.9471073528193543
mnist,cut_minmax,attacked,42,0,actual_attacker,5,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999999677,-0.3798403954248448,0.9999999999999677,0.9999999999999677,-0.9313457458220633,0.13453360240776996
mnist,cut_minmax,attacked,42,0,actual_attacker,5,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,42,0,actual_attacker,5,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.000000000000013,-0.3910331260919142,1.000000000000013,1.000000000000013,-0.9330457882377772,0.12065125588752378
mnist,cut_minmax,attacked,42,9,actual_attacker,5,top5_cosine_similarity,1.0,90,18,0,1.0,0.8375788367708781,1.0,1.0,0.2818677831592891,0.9709729698985594
mnist,cut_minmax,attacked,42,9,actual_attacker,5,negative_cosine_other_clients_mean,0.0,90,18,0,-0.9999999999999338,0.6202528585907052,-0.9999999999999338,-0.9999999999999338,0.3637425314407379,0.8070869713926168
mnist,cut_minmax,attacked,42,9,actual_attacker,5,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,42,9,actual_attacker,5,oracle_negative_cosine_honest_mean,1.0,90,18,0,0.999999999999994,-0.28758408504241534,0.999999999999994,0.999999999999994,-0.6992278883865309,0.18609098939494562
mnist,cut_minmax,attacked,42,29,actual_attacker,5,top5_cosine_similarity,1.0,90,18,0,1.0,0.8256811223222552,1.0,1.0,0.28247456185964764,0.9737062625011648
mnist,cut_minmax,attacked,42,29,actual_attacker,5,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999997381,0.9497590817660573,0.9999999999997381,0.9999999999997381,0.9062939965319851,0.9639085508306768
mnist,cut_minmax,attacked,42,29,actual_attacker,5,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
mnist,cut_minmax,attacked,42,29,actual_attacker,5,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.0000000000000004,-0.4124953955412113,1.0000000000000004,1.0000000000000004,-0.7524455268217062,0.17095539758178374
fashion_mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,6,top5_cosine_similarity,0.3310185185185185,90,18,0,0.9129790392845594,0.9604083480825225,0.3645006678375493,0.9792285953186717,0.251433255228124,0.9922835629276563
fashion_mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,6,negative_cosine_other_clients_mean,0.6087962962962963,90,18,0,-0.42857734672468684,-0.4526913527677392,-0.7436869001020056,0.009392315742282598,-0.7995119975224456,0.050968609190104625
fashion_mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,6,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,137,0,latent_assignment_not_attack,6,oracle_negative_cosine_honest_mean,0.6087962962962963,90,18,0,-0.42857734672468684,-0.4526913527677392,-0.7436869001020056,0.009392315742282598,-0.7995119975224456,0.050968609190104625
fashion_mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,6,top5_cosine_similarity,0.39814814814814814,90,18,0,0.8631042981652697,0.8944443207623028,0.5876263921189938,0.9684409716760337,0.2948149546053167,0.9814195779028145
fashion_mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,6,negative_cosine_other_clients_mean,0.36419753086419754,90,18,0,-0.06358106677012418,-0.015225749950636242,-0.29577511334535844,0.2740646738695162,-0.36769967756120614,0.2620099222262237
fashion_mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,6,exact_duplicate_peers,0.5,90,18,0,0.0,0.0,0.0,0.0,0.0,0.0
fashion_mnist,cut_minmax,clean,137,9,latent_assignment_not_attack,6,oracle_negative_cosine_honest_mean,0.36419753086419754,90,18,0,-0.06358106677012418,-0.015225749950636242,-0.29577511334535844,0.2740646738695162,-0.36769967756120614,0.2620099222262237
fashion_mnist,cut_minmax,clean,137,29,latent_assignment_not_attack,6,top5_cosine_similarity,0.38503086419753085,90,18,0,0.8385055363109319,0.9065862685850721,0.5355909779879979,0.9905698153817724,0.34063750259403286,0.9914538478764034
