source,reference,round,attackers,honest,attackers_bit_identical,attacker_distance_sum_min,attacker_distance_sum_max,attacker_zero_sum,attacker_rd_min,honest_rd_max,density_gap,threshold,low_density_attackers,low_density_honest
canonical,E1_mnist_7.1_42,29,27,63,True,5.053229656937219e-07,5.053229656937219e-07,0,9894662.106116345,3.4546053314538097,True,4947332.780360838,0,63
canonical,E1_mnist_7.2_137,0,27,63,True,5.8161075955354136e-08,5.8161075955354136e-08,0,85968148.2481191,8.208121263168442,True,42984078.228120185,0,63
canonical,E1_mnist_7.2_137,9,27,63,True,3.357931266378955e-08,3.357931266378955e-08,0,148901201.46478695,26.033625958932124,True,74450613.74920645,0,63
canonical,E1_mnist_7.2_137,29,27,63,True,1.7731853763081062e-08,1.7731853763081062e-08,0,281978413.9214109,48.65478162942409,True,140989231.28809628,0,63
canonical,E1_mnist_7.2_2024,0,27,63,True,3.421897654121153e-08,3.421897654121153e-08,0,146117754.10577413,7.7059699335315255,True,73058880.90587203,0,63
canonical,E1_mnist_7.2_2024,9,27,63,True,2.9080537977677068e-08,2.9080537977677068e-08,0,171936296.4962382,21.94844314679741,True,85968159.22234067,0,63
canonical,E1_mnist_7.2_2024,29,27,63,True,1.6463612417805251e-09,1.6463612417805251e-09,0,3037000551.9521003,39.285274548626596,True,1518500295.6186874,0,63
canonical,E1_mnist_7.2_42,0,27,63,True,1.4162535588724268e-08,1.4162535588724268e-08,0,353044126.0801372,6.528980642212732,True,176522066.3045589,0,63
canonical,E1_mnist_7.2_42,9,27,63,True,1.7423450460185563e-08,1.7423450460185563e-08,0,286969565.03681815,17.836371866927518,True,143484791.436595,0,63
canonical,E1_mnist_7.2_42,29,27,63,True,1.579134267792881e-08,1.579134267792881e-08,0,316629187.39572304,25.195423977767582,True,158314606.2955735,0,63
