reference,dataset,scenario,mode,seed,round,alpha,auc,honest_min,honest_max,honest_median,attacker_min,attacker_max,attacker_median,duplicate_honest,duplicate_attackers,constraint_bound,max_constraint_ratio,strict_violations,tolerance_violations,attackers
4,mnist,cut_minmax,attacked,2024,0,0.01,1.0,0.2776587697339755,0.9742659620871972,0.8897396252947298,0.9999000836469365,0.9999004510122604,0.9999003087148083,0,0,1.32800506220838,1.0000500098898437,13.0,12.0,18
4,mnist,cut_minmax,attacked,2024,9,0.0,1.0,0.2272139256064169,0.9794269871862957,0.8516518265624029,0.9999999999999997,0.9999999999999997,0.9999999999999997,0,18,1.5130812181787139,0.9999987152111157,0.0,0.0,18
4,mnist,cut_minmax,attacked,2024,9,1e-06,1.0,0.22721392720015227,0.9794269871862957,0.8516518265624029,0.9999999999989997,0.999999999999004,0.9999999999990021,0,0,1.5130812181787139,0.9999987193996053,0.0,0.0,18
4,mnist,cut_minmax,attacked,2024,9,0.0001,1.0,0.22721407760929094,0.9794269871862957,0.8516518265624029,0.999999990003501,0.9999999900463156,0.9999999900279636,0,0,1.5130812181787139,0.9999991906795943,0.0,0.0,18
4,mnist,cut_minmax,attacked,2024,9,0.01,1.0,0.22722898286233076,0.9794269871862957,0.8516518265624029,0.9999000435075007,0.999900473817269,0.9999002916628268,0,0,1.5130812181787139,1.0000833541692224,16.0,13.0,18
4,mnist,cut_minmax,attacked,2024,29,0.0,1.0,0.2514045459174001,0.9709919668669104,0.8539590241424873,1.0000000000000007,1.0000000000000007,1.0000000000000007,0,18,1.5466846669588226,0.999998672577315,0.0,0.0,18
4,mnist,cut_minmax,attacked,2024,29,1e-06,1.0,0.2514045459174001,0.9709919668669104,0.8539590241424873,0.9999999999990015,0.9999999999990044,0.9999999999990026,0,0,1.5466846669588226,0.9999986802648244,0.0,0.0,18
4,mnist,cut_minmax,attacked,2024,29,0.0001,1.0,0.2514045459174001,0.9709919668669104,0.8539590241424873,0.9999999900171312,0.999999990048428,0.9999999900273473,0,0,1.5466846669588226,0.9999993755989628,0.0,0.0,18
4,mnist,cut_minmax,attacked,2024,29,0.01,1.0,0.2514045459174001,0.9709919668669104,0.8539590241424873,0.999900184376048,0.9999004899226968,0.9999002826854093,0,0,1.5466846669588226,1.0001076498184531,18.0,15.0,18
5,mnist,cut_minmax,attacked,42,0,0.0,1.0,0.26281794837975514,0.9471073528193543,0.887930365576427,1.0000000000000002,1.0000000000000002,1.0000000000000002,0,18,1.3985676315302333,0.9999988629604091,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,0,1e-06,1.0,0.26281794995399416,0.9471073528193543,0.887930365576427,0.999999999999001,0.9999999999990037,0.9999999999990024,0,0,1.3985676315302333,0.999998866548071,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,0,0.0001,1.0,0.26281809720439475,0.9471073528193543,0.887930365576427,0.9999999900173986,0.9999999900394945,0.9999999900286722,0,0,1.3985676315302333,0.999999096370193,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,0,0.01,1.0,0.26282947945219426,0.9471073528193543,0.887930365576427,0.999900185216657,0.9999004019381623,0.9999002975826641,0,0,1.3985676315302333,1.0000328083817247,14.0,10.0,18
5,mnist,cut_minmax,attacked,42,9,0.0,1.0,0.2818677831592891,0.9709729698985594,0.8375788367708781,1.0,1.0,1.0,0,18,1.3784165385832006,0.9999988484351153,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,9,1e-06,1.0,0.28186778534209256,0.9709729698985594,0.8375788367708781,0.9999999999990002,0.9999999999990037,0.9999999999990025,0,0,1.3784165385832006,0.9999988570274173,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,9,0.0001,1.0,0.2818679940475799,0.9709729698985594,0.8375788367708781,0.9999999900138536,0.9999999900377775,0.9999999900292795,0,0,1.3784165385832006,0.9999996212551892,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,9,0.01,1.0,0.2818846529218144,0.9709729698985594,0.8375788367708781,0.9999001504117132,0.9999003890799802,0.9999003052373117,0,0,1.3784165385832006,1.000116010900301,17.0,17.0,18
5,mnist,cut_minmax,attacked,42,29,0.0,1.0,0.28247456185964764,0.9737062625011648,0.8256811223222552,1.0,1.0,1.0,0,18,1.3655709297806131,0.9999987326440024,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,29,1e-06,1.0,0.28247456420862116,0.9737062625011648,0.8256811223222552,0.9999999999990008,0.9999999999990035,0.999999999999002,0,0,1.3655709297806131,0.9999987403515938,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,29,0.0001,1.0,0.2824748028617757,0.9737062625011648,0.8256811223222552,0.9999999900133488,0.999999990037281,0.9999999900250993,0,0,1.3655709297806131,0.9999995052345965,0.0,0.0,18
5,mnist,cut_minmax,attacked,42,29,0.01,1.0,0.28249441902084643,0.9737062625011648,0.8256811223222552,0.9999001442723412,0.9999003859063755,0.999900262791511,0,0,1.3655709297806131,1.0001132050235697,16.0,15.0,18
6,fashion_mnist,cut_minmax,clean,137,0,0.0,,0.251433255228124,0.9922835629276563,0.9551251419678481,,,,0,0,,,,,0
6,fashion_mnist,cut_minmax,clean,137,9,0.0,,0.2948149546053167,0.9814195779028145,0.8861383138663379,,,,0,0,,,,,0
6,fashion_mnist,cut_minmax,clean,137,29,0.0,,0.34063750259403286,0.9914538478764034,0.8970725478308605,,,,0,0,,,,,0
