reference,dataset,scenario,mode,seed,round,alpha,threshold,tp,fp,honest_n,attacker_n,floor_fp,floor_n,above_fp,above_n
2,fashion_mnist,cut_minmax,attacked,42,0,0.0,0.999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.0,0.9999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,1e-06,0.95,18,42,72,18,39,42,3,30
2,fashion_mnist,cut_minmax,attacked,42,0,1e-06,0.99,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,1e-06,0.999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,1e-06,0.9999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.0001,0.95,18,42,72,18,39,42,3,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.0001,0.99,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.0001,0.999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.0001,0.9999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.01,0.95,18,42,72,18,39,42,3,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.01,0.99,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.01,0.999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.01,0.9999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,9,0.0,0.95,18,38,72,18,34,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.0,0.99,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.0,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.0,0.9999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,1e-06,0.95,18,38,72,18,34,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,9,1e-06,0.99,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,1e-06,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,1e-06,0.9999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.0001,0.95,18,38,72,18,34,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.0001,0.99,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.0001,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.0001,0.9999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.01,0.95,18,38,72,18,34,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.01,0.99,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.01,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,9,0.01,0.9999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0,0.95,18,37,72,18,33,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0,0.99,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0,0.999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,0.0,0.9999,18,0,72,18,0,39,0,33
2,fashion_mnist,cut_minmax,attacked,42,29,1e-06,0.95,18,37,72,18,33,39,4,33
2,fashion_mnist,cut_minmax,attacked,42,29,1e-06,0.99,18,0,72,18,0,39,0,33
