ref,round,root,variant,clients,cosine_max_gap,trust_max_gap,weight_max_gap,scaled_norm_max_gap,aggregate_max_gap,aggregate_relative_gap,aggregate_cosine,zero_trust_clients,clients_the_local_rule_removes
ref_03,29,small,fltrust_normalized,90,1.5924100179587342e-06,1.5924100179587342e-06,4.1789381059753605e-08,5.000000136146099e-10,1.238031689318464e-09,7.975643497201581e-08,0.9999999999999969,38,38
ref_03,29,small,fltrust,90,1.5924100179587342e-06,1.5924100179587342e-06,4.1789381059753605e-08,5.000000136146099e-10,1.238031689318464e-09,7.975643497201581e-08,0.9999999999999969,38,38
ref_03,29,large,fltrust_normalized,90,1.588388971907051e-06,1.588388971907051e-06,4.178938105628416e-08,4.680168919080074e-09,1.1588393605821423e-08,7.975643500656774e-08,0.9999999999999967,38,38
ref_03,29,large,fltrust,90,1.588388971907051e-06,1.588388971907051e-06,4.178938105628416e-08,1.372248978334484,0.14833754727222892,0.7571251250836307,0.9994745999974325,38,38
ref_03,29,unrelated,fltrust_normalized,90,6.7267568217010965e-09,6.7267568217010965e-09,6.103782233812804e-08,1.6623644683022576e-09,9.686142948914928e-09,2.1713964528521066e-07,0.9999999999999816,45,45
ref_03,29,unrelated,fltrust,90,6.7267568217010965e-09,6.7267568217010965e-09,6.103782233812804e-08,0.24698028454815424,0.01896014560403146,0.34330035236285106,0.9920426054799034,45,45
ref_04,0,cohort_mean,fltrust_normalized,90,1.747979132771249e-06,1.747979132771249e-06,5.9600866061937374e-08,1.30116228902466e-09,4.075566099881467e-09,7.765129015568949e-08,0.9999999999999972,25,25
ref_04,0,cohort_mean,fltrust,90,1.747979132771249e-06,1.747979132771249e-06,5.9600866061937374e-08,0.14658000958241235,0.0026398980286917104,0.04254442576237899,0.9999773425913531,25,25
ref_04,0,small,fltrust_normalized,90,1.7459432699595823e-06,1.7459432699595823e-06,5.9600866061937374e-08,5.000000413701855e-10,1.5661253821575016e-09,7.76512902362152e-08,0.9999999999999971,25,25
ref_04,0,small,fltrust,90,1.7459432699595823e-06,1.7459432699595823e-06,5.9600866061937374e-08,5.000000413701855e-10,1.5661253821575016e-09,7.76512902362152e-08,0.9999999999999971,25,25
ref_04,0,large,fltrust_normalized,90,1.748739196782978e-06,1.748739196782978e-06,5.960086606887627e-08,3.2383966619420335e-09,1.0143469508783198e-08,7.765129023489718e-08,0.9999999999999971,25,25
ref_04,0,large,fltrust,90,1.748739196782978e-06,1.748739196782978e-06,5.960086606887627e-08,1.0894602069863697,0.09369232101431743,0.609237426430194,0.9999270660338654,25,25
ref_04,0,unrelated,fltrust_normalized,90,6.4204354983596335e-09,3.3308596610048813e-09,3.300288274957208e-08,1.30116228902466e-09,8.235218800292654e-09,2.4777165061609905e-07,0.9999999999999702,43,43
ref_04,0,unrelated,fltrust,90,6.4204354983596335e-09,3.3308596610048813e-09,3.300288274957208e-08,0.14658000958241235,0.0011615220058736574,0.03662746591280264,0.9998511348672469,43,43
ref_04,9,cohort_mean,fltrust_normalized,90,1.3248765057261025e-06,5.184610661901345e-07,5.8471627175510354e-09,1.0036688147252448e-09,5.387888329932977e-10,1.003267538062149e-08,0.9999999999999998,64,64
