method,dataset,scenario,seed,pair_matched,attackers,arm,clients,marked,auc_rel_mean,rho_rel_mean_samples,rho_rel_mean_steps,auc_lag1,oriented_lag1,rho_lag1_samples,rho_lag1_steps,auc_rel_cv,twosided_rel_cv,rho_rel_cv_samples,rho_rel_cv_steps,auc_trend,twosided_trend,rho_trend_samples,rho_trend_steps
fedavg,fashion_mnist,gaussian,42,True,18,attacked,100,18,1.0,0.4322935819585166,,0.9390243902439024,0.06097560975609756,0.24789141173232213,,1.0,0.5,-0.4095065051133969,,0.024390243902439025,0.47560975609756095,0.3902368868529432,
fedavg,fashion_mnist,gaussian,42,True,18,placebo,100,18,0.462059620596206,0.6760915125897413,,0.5277777777777778,0.4722222222222222,-0.2176403754824477,,0.48644986449864497,0.013550135501355032,0.3018891155119097,,0.513550135501355,0.013550135501354976,0.17946805649827977,
fedavg,fashion_mnist,gaussian,137,True,18,attacked,100,18,1.0,0.41295288278711095,,0.975609756097561,0.024390243902439025,0.3943669010169701,,1.0,0.5,-0.2508804806022567,,0.17073170731707318,0.3292682926829268,0.26700563271273003,
fedavg,fashion_mnist,gaussian,137,True,18,placebo,100,18,0.6388888888888888,0.5920003492153277,,0.5508130081300813,0.4491869918699187,0.424023395066316,,0.35636856368563685,0.14363143631436315,-0.052918324780726604,,0.6144986449864499,0.1144986449864499,-0.01514918670954786,
fedavg,fashion_mnist,gaussian,2024,True,18,attacked,100,18,1.0,0.37679124720846147,,0.9634146341463414,0.036585365853658534,0.2747440855038542,,0.9634146341463414,0.46341463414634143,-0.29739401245496627,,0.027777777777777776,0.4722222222222222,0.3239191721005189,
fedavg,fashion_mnist,gaussian,2024,True,18,placebo,100,18,0.505420054200542,0.5655121582203542,,0.6531165311653117,0.34688346883468835,0.051182094111183705,,0.5785907859078591,0.07859078590785906,0.2994473892158325,,0.5928184281842819,0.09281842818428188,0.22263212326065424,
fedavg,fashion_mnist,backdoor,42,True,18,attacked,100,18,0.3346883468834688,-0.05540487021986584,,0.502710027100271,0.497289972899729,-0.12943004936340155,,0.4275067750677507,0.0724932249322493,0.09859822620844966,,0.6639566395663956,0.1639566395663956,-0.07164631403243243,
fedavg,fashion_mnist,backdoor,42,True,18,placebo,100,18,0.491869918699187,0.0009721205432273657,,0.4363143631436314,0.5636856368563685,-0.1097356072469064,,0.48577235772357724,0.014227642276422758,0.09711604241723262,,0.5589430894308943,0.058943089430894324,-0.10013441669651266,
fedavg,fashion_mnist,backdoor,137,True,18,attacked,100,18,0.38482384823848237,0.012295746006779351,,0.5555555555555556,0.4444444444444444,-0.003966563255481284,,0.6260162601626016,0.1260162601626016,0.04516241310249946,,0.7052845528455285,0.2052845528455285,0.1466132590340755,
fedavg,fashion_mnist,backdoor,137,True,18,placebo,100,18,0.5670731707317073,0.04814483660926829,,0.5630081300813008,0.4369918699186992,-0.032938677321235656,,0.6043360433604336,0.10433604336043356,0.06340500356643759,,0.6199186991869918,0.11991869918699183,0.1637272494138447,
fedavg,fashion_mnist,backdoor,2024,True,18,attacked,100,18,0.47764227642276424,-0.08147601408564488,,0.44308943089430897,0.556910569105691,-0.13160382055273512,,0.5941734417344173,0.09417344173441733,0.08573074591054893,,0.7100271002710027,0.2100271002710027,-0.12663978237087456,
fedavg,fashion_mnist,backdoor,2024,True,18,placebo,100,18,0.6077235772357723,-0.1131254578720256,,0.47696476964769646,0.5230352303523035,-0.18591197734206957,,0.4749322493224932,0.025067750677506773,0.19309521287720374,,0.559620596205962,0.05962059620596205,-0.050246642552780774,
fed_mdbscan_g,mnist,minmax,42,True,18,attacked,100,18,0.5853658536585366,0.6213618933425861,,0.2073170731707317,0.7926829268292683,-0.00615638228027696,,0.573170731707317,0.07317073170731703,-0.620857056882968,,1.0,0.5,0.03761382142661442,
fed_mdbscan_g,mnist,minmax,42,True,18,placebo,100,18,0.3699186991869919,0.6916910992492815,,0.5853658536585366,0.4146341463414634,0.13015373673875866,,0.6063685636856369,0.10636856368563685,-0.1555598952606221,,0.3543360433604336,0.14566395663956638,0.5788602678353145,
fed_mdbscan_g,mnist,minmax,137,True,18,attacked,100,18,0.7195121951219512,0.6119351512281915,,0.926829268292683,0.07317073170731707,-0.1270005395936047,,0.573170731707317,0.07317073170731703,-0.5584600058167748,,0.7804878048780488,0.2804878048780488,0.5249932279035772,
fed_mdbscan_g,mnist,minmax,137,True,18,placebo,100,18,0.46612466124661245,0.6862599290273262,,0.5094850948509485,0.4905149051490515,-0.41953049907631573,,0.4817073170731707,0.018292682926829285,-0.08957509151526256,,0.5203252032520326,0.020325203252032575,0.6466291537644264,
fed_mdbscan_g,mnist,minmax,2024,True,18,attacked,100,18,0.6219512195121951,0.6489231317254293,,0.6219512195121951,0.3780487804878049,-0.45468368133466003,,0.5365853658536586,0.03658536585365857,-0.573865107771253,,1.0,0.5,0.18562142947060525,
fed_mdbscan_g,mnist,minmax,2024,True,18,placebo,100,18,0.34552845528455284,0.6420525513611013,,0.5250677506775068,0.4749322493224932,-0.0067179783798726675,,0.5237127371273713,0.02371273712737132,-0.10184578958392004,,0.4627371273712737,0.037262872628726296,0.3987400655514268,
fed_mdbscan_g,mnist,gaussian,42,True,18,attacked,100,18,1.0,0.3412302661293475,,1.0,0.0,-0.061081666222311114,,0.5975609756097561,0.09756097560975607,-0.6001568223355468,,1.0,0.5,0.07422524283154411,
fed_mdbscan_g,mnist,gaussian,42,True,18,placebo,100,18,0.3699186991869919,0.6916910992492815,,0.5853658536585366,0.4146341463414634,0.13015373673875866,,0.6063685636856369,0.10636856368563685,-0.1555598952606221,,0.3543360433604336,0.14566395663956638,0.5788602678353145,
fed_mdbscan_g,mnist,gaussian,137,True,18,attacked,100,18,1.0,0.37931621311863734,,0.6829268292682927,0.3170731707317073,0.27354230836387555,,0.2682926829268293,0.23170731707317072,-0.14950990817100376,,0.7439024390243902,0.24390243902439024,0.4301991836658769,
fed_mdbscan_g,mnist,gaussian,137,True,18,placebo,100,18,0.46612466124661245,0.6862599290273262,,0.5094850948509485,0.4905149051490515,-0.41953049907631573,,0.4817073170731707,0.018292682926829285,-0.08957509151526256,,0.5203252032520326,0.020325203252032575,0.6466291537644264,
fed_mdbscan_g,mnist,gaussian,2024,True,18,attacked,100,18,1.0,0.38865645730313125,,1.0,0.0,-0.11394378999407502,,0.8292682926829268,0.3292682926829268,-0.3891949677569788,,1.0,0.5,0.1383247106324646,
fed_mdbscan_g,mnist,gaussian,2024,True,18,placebo,100,18,0.34552845528455284,0.6420525513611013,,0.5250677506775068,0.4749322493224932,-0.0067179783798726675,,0.5237127371273713,0.02371273712737132,-0.10184578958392004,,0.4627371273712737,0.037262872628726296,0.3987400655514268,
fed_mdbscan_g,mnist,backdoor,42,True,18,attacked,100,18,0.3319783197831978,-0.07076183594901876,,0.43021680216802166,0.5697831978319783,-0.20396957569955396,,0.6476964769647696,0.14769647696476962,0.26625700992689644,,0.44037940379403795,0.05962059620596205,-0.01137161477666814,
fed_mdbscan_g,mnist,backdoor,42,True,18,placebo,100,18,0.43224932249322495,-0.07539447989005019,,0.5237127371273713,0.47628726287262874,-0.18872679932781689,,0.5975609756097561,0.09756097560975607,0.28268129291472416,,0.3597560975609756,0.1402439024390244,-0.03649118177146119,
