reference,mode,dataset,scenario,seed,round,gate,cutoff,fp,tp,honest_count,malicious_count,fpr,tpr,layer,fallback,natural_clusters,rejected_clusters,attack_gate
9,cutoff_clean,mnist,scenario_cut_minmax,137,9,density_only,True,36,0,90,0,0.4,,L3_safety_fallback_L0,True,1,1,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,9,density_only,False,36,0,90,0,0.4,,L3_safety_fallback_L0,True,1,1,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,29,original,True,38,0,90,0,0.4222222222222222,,L0+L2_SNNC,False,1,0,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,29,original,False,38,0,90,0,0.4222222222222222,,L3_safety_fallback_L0,True,1,1,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,29,density_only,True,38,0,90,0,0.4222222222222222,,L0+L2_SNNC,False,1,0,True
9,cutoff_clean,mnist,scenario_cut_minmax,137,29,density_only,False,38,0,90,0,0.4222222222222222,,L3_safety_fallback_L0,True,1,1,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,0,original,True,0,0,90,0,0.0,,L0_only,False,0,0,False
10,cutoff_clean,mnist,scenario_cut_minmax,2024,0,original,False,0,0,90,0,0.0,,L0_only,False,0,0,False
10,cutoff_clean,mnist,scenario_cut_minmax,2024,0,density_only,True,0,0,90,0,0.0,,L0+L2_SNNC,False,1,0,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,0,density_only,False,0,0,90,0,0.0,,L0+L2_SNNC,False,1,0,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,9,original,True,33,0,90,0,0.36666666666666664,,L0+L2_SNNC,False,6,5,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,9,original,False,19,0,90,0,0.2111111111111111,,L0+L2_SNNC,False,1,0,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,9,density_only,True,33,0,90,0,0.36666666666666664,,L0+L2_SNNC,False,6,5,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,9,density_only,False,19,0,90,0,0.2111111111111111,,L0+L2_SNNC,False,1,0,True
10,cutoff_clean,mnist,scenario_cut_minmax,2024,29,original,True,23,0,90,0,0.25555555555555554,,L0+L2_SNNC,False,2,1,True
